Municipalidade,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Total,UF,Latitude,Longitude
ABEL FIGUEIREDO,,,43,36,,19,15,24,22,11,170,PA,-4.95,-48.4
AFUÁ,21,,,,,,,,,,21,PA,-0.16,-50.39
ÁGUA AZUL DO NORTE,27,,,13,,26,,46,13,,125,PA,-6.8,-50.49
ALMAS,,,,2,,,,,,,2,TO,-11.57,-47.17
ALTA FLORESTA,,,3,,,12,,,,,15,MT,-9.87,-56.09
ALTAMIRA,6,79,,8,33,,,7,,72,205,PA,-3.21,-52.21
ANANÁS,169,7,54,210,8,10,,,,,458,TO,-6.36,-48.08
ANAPU,,20,,,,,7,,,,27,PA,-3.48,-51.2
APIACÁS,,,,,,,,15,,,15,MT,-9.57,-57.4
ARAGOMINAS,,45,,,,,,,,,45,TO,-7.16,-48.52
ARAGUACEMA,,,,,,,,39,6,,45,TO,-8.8,-49.56
ARAGUAÇU,,,,,,,28,,,,28,TO,-12.93,-49.83
ARAGUAÍNA,8,49,4,6,,,19,,,,86,TO,-7.19,-48.21
ARAGUANÃ,54,,,,13,,,,,,67,TO,-6.58,-48.64
ARAGUATINS,,6,,,,,,,,56,62,TO,-5.65,-48.12
ARAPOEMA,,84,,101,5,,,,,,190,TO,-7.65,-49.08
ARAPUTANGA,,,,,,,6,,,,6,MT,-15.47,-58.35
ARIQUEMES,,,,,,,,1,16,,17,RO,-9.91,-63.03
AXIXÁ DO TOCANTINS,,,40,8,,,,,,,48,TO,-5.62,-47.77
BAIÃO,,,,,29,16,,,,,45,PA,-2.79,-49.67
BANDEIRANTES DO TOCANTINS,40,15,10,,,,,,33,,98,TO,-7.76,-48.58
BANNACH,33,,,,,,,,,,33,PA,-7.35,-50.41
BARREIRINHA,,,,,,19,,,,,19,AM,-2.8,-57.07
BOCA DO ACRE,,,,,,8,,,42,159,209,AM,-8.75,-67.4
BOM JESUS DO ARAGUAIA,15,,,,,,7,,,,22,MT,-12.17,-51.5
BOM JESUS DO TOCANTINS,,11,,,,14,10,,,,35,PA,-5.05,-48.6
BRASIL NOVO,,5,,80,,,,,,,85,PA,-3.3,-52.54
BRASILÂNDIA,,12,,,,,,,8,,20,TO,-8.38,-48.49
BRASNORTE,,24,,,47,,14,,4,,89,MT,-12.12,-58
BREJO GRANDE DO ARAGUAIA,5,,79,,15,6,,17,,,122,PA,-5.71,-48.41
BREU BRANCO,37,,,12,,35,,,,,84,PA,-3.78,-49.57
BUJARI,,,,,2,,9,,,,11,AC,-9.82,-67.95
CACAULÂNDIA,,,,,,,,,7,,7,RO,-10.34,-62.9
CÁCERES,,,,,,,5,,,3,8,MT,-16.07,-57.67
CACHOEIRINHA,,60,,,,,,,,,60,TO,-6.11,-47.91
CAMPO NOVO DOS PARECIS,,27,,,,,,,,,27,MT,-13.65,-57.89
CAMPOS DE JÚLIO,,,35,249,,,,,,,284,MT,-13.72,-59.26
CAMPOS LINDOS,20,,,,9,,,,,,29,TO,-7.97,-46.8
CANAÃ DOS CARAJÁS,,24,,,,,,,,,24,PA,-6.53,-49.85
CANARANA,8,,,,,,,,,,8,MT,-13.56,-52.27
CANTÁ,,,,,,,26,,,,26,RR,2.61,-60.6
